W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-09-22,1,0,2.88,1,0,7.1,2,2,2,0,3,5,1.11
2018-09-28,1,0,2.85,1,0,5.0,1,1,1,0,0,9,1.08
2019-04-27,0,0,6.0,1,0,6.0,6,4,4,2,1,5,1.17
2019-05-02,0,1,5.06,1,0,4.2,8,6,2,1,0,3,1.41
2019-05-08,0,1,5.94,1,0,6.0,5,5,5,2,4,2,1.44
2019-05-14,0,1,8.02,1,0,4.2,7,8,8,3,3,4,1.59
2019-05-19,0,0,6.91,1,0,6.0,3,2,2,2,0,3,1.35
2019-05-24,1,0,5.67,1,0,6.0,5,1,0,0,0,7,1.26
2019-05-31,0,1,6.1,1,0,5.0,7,5,5,3,0,8,1.28
2019-06-06,0,1,5.89,1,0,6.0,6,3,3,2,1,5,1.26
2019-06-11,0,0,6.02,1,0,5.0,5,4,4,0,4,5,1.32
2019-06-16,1,0,5.53,1,0,6.0,4,1,1,0,5,6,1.34
2019-06-22,0,0,6.37,1,0,4.0,8,8,8,1,2,2,1.42
2019-08-06,1,0,6.26,1,0,5.1,5,3,3,2,2,7,1.41
2019-08-11,1,0,6.24,1,0,6.0,8,4,4,0,2,7,1.43
2019-08-17,0,0,6.09,1,0,4.2,7,2,2,1,3,5,1.47
2019-08-23,0,0,5.68,1,0,7.0,2,1,1,1,2,7,1.4
2019-08-28,0,0,5.59,1,0,4.2,8,3,2,0,2,3,1.44
2019-09-03,1,0,5.28,1,0,5.0,2,0,0,0,3,2,1.41
2019-09-09,1,0,5.0,1,0,7.0,3,1,1,1,0,7,1.34
2019-09-14,1,0,4.8,1,0,6.0,4,1,1,0,1,5,1.31
2019-09-20,1,0,4.46,1,0,8.0,3,0,0,0,1,7,1.26
2019-09-28,0,1,4.54,1,0,4.0,3,3,3,2,1,5,1.25
2020-07-27,0,1,16.2,1,0,3.1,4,6,6,3,4,3,2.4
2021-04-05,0,1,9.0,1,0,4.0,4,4,4,2,3,7,1.75
2021-04-11,0,1,4.09,1,0,7.0,2,1,1,1,3,3,1.09
2021-04-16,0,1,5.63,1,0,5.0,7,5,5,2,1,6,1.25
2021-04-21,0,0,5.32,1,0,6.0,7,3,3,3,0,6,1.23
2021-04-27,1,0,4.61,1,0,5.1,8,1,1,0,0,4,1.28
2021-05-02,0,0,4.32,1,0,6.0,7,2,2,1,1,5,1.29
2021-05-07,0,0,4.5,1,0,6.2,6,4,4,2,1,5,1.25
2021-05-13,0,0,4.6,1,0,5.0,8,3,3,0,3,3,1.36
2021-05-18,0,1,5.18,1,0,3.2,7,5,5,0,1,1,1.42
2021-05-23,0,0,4.53,1,0,7.0,3,0,0,0,2,2,1.33
2021-05-29,0,1,4.31,1,0,7.0,6,2,2,1,1,2,1.29
2021-06-03,0,1,4.75,1,0,3.2,8,5,5,1,0,2,1.34
2021-06-11,0,1,5.48,1,0,2.2,8,8,7,3,1,1,1.42
2021-06-18,0,0,5.59,1,0,5.0,6,4,4,1,2,4,1.43
2021-06-23,0,0,5.4,1,0,6.0,6,2,2,1,0,5,1.4
2021-06-29,1,0,5.17,1,0,7.0,4,2,2,1,1,6,1.34
2021-07-04,0,1,5.17,1,0,7.0,4,4,4,2,1,5,1.3
2021-07-10,0,0,5.11,1,0,6.1,5,3,3,3,0,6,1.27
2021-07-18,0,1,5.91,1,0,1.2,8,10,10,4,2,0,1.34
2021-07-22,0,1,6.11,1,0,4.0,5,6,5,3,2,4,1.36
2021-08-01,0,0,6.0,1,0,5.0,3,2,2,0,3,1,1.35
2021-08-06,0,0,5.77,1,0,6.0,2,1,1,0,3,2,1.32
2021-08-12,0,1,5.66,1,0,7.0,6,3,3,2,0,6,1.3
2021-08-18,0,1,5.54,1,0,6.0,3,2,2,1,2,5,1.28
2021-09-19,0,0,5.55,0,0,3.0,2,2,2,0,2,0,1.28
2021-09-23,0,0,5.47,0,0,2.0,1,0,0,0,0,3,1.27
2021-09-29,0,0,5.39,0,0,2.0,1,0,0,0,0,1,1.26
2021-10-03,0,0,5.44,0,0,2.0,2,2,2,1,1,2,1.26
