W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020-09-27,0,0,3.99,0,0,2.0,4,3,3,1,1,3,1.16
2021-04-01,0,0,0.0,0,0,2.0,2,0,0,0,3,6,2.5
2021-04-06,1,0,0.0,1,0,5.0,1,0,0,0,4,8,1.43
2021-04-12,1,0,0.69,1,0,6.0,2,1,1,1,2,10,1.08
2021-04-18,0,0,2.0,1,0,5.0,3,3,3,1,3,7,1.11
2021-04-24,0,0,2.45,1,0,4.0,5,2,2,0,1,7,1.18
2021-04-30,1,0,2.25,1,0,6.0,1,1,1,1,1,7,1.0
2021-05-05,0,1,3.38,1,0,4.0,4,5,5,1,3,8,1.09
2021-05-11,0,0,2.77,1,0,7.0,1,0,0,0,1,8,0.95
2021-05-16,1,0,2.4,1,0,6.0,2,0,0,0,1,8,0.89
2021-05-23,0,0,2.54,1,0,4.2,3,2,2,1,4,7,0.95
2021-05-29,1,0,2.38,1,0,7.0,4,1,1,1,1,7,0.92
2021-06-04,1,0,2.25,1,0,7.1,1,1,1,0,3,9,0.88
2021-06-10,0,0,2.25,1,0,4.0,2,1,1,1,2,6,0.88
2021-06-16,0,1,2.28,1,0,7.0,5,2,2,0,0,6,0.87
2021-06-22,1,0,2.11,1,0,6.0,1,0,0,0,4,10,0.86
2021-06-28,0,0,2.17,1,0,6.0,2,2,2,1,4,8,0.87
2021-07-04,0,1,2.23,1,0,6.0,3,2,2,1,5,7,0.9
2021-07-10,0,0,2.39,1,0,5.0,2,3,3,1,2,6,0.9
2021-07-23,0,0,2.29,1,0,4.0,1,0,0,0,2,5,0.89
2021-07-29,1,0,2.17,1,0,6.0,2,0,0,0,1,5,0.87
2021-08-04,0,0,2.21,1,0,6.0,6,2,2,0,2,9,0.89
2021-08-10,1,0,2.26,1,0,5.1,5,2,2,0,2,8,0.91
2021-08-18,0,0,2.45,1,0,2.0,5,3,3,0,0,2,0.94
2021-09-03,0,1,2.7,1,0,2.0,3,4,4,1,2,4,0.96
2021-09-08,0,0,2.69,1,0,3.2,4,3,1,1,1,4,0.98
2021-09-14,0,0,2.57,1,0,6.0,2,0,0,0,0,9,0.95
2021-09-20,0,1,2.65,1,0,6.0,7,3,3,1,1,9,0.96
2021-09-26,1,0,2.81,1,0,5.1,5,4,4,1,1,5,0.97
