W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-04-06,0,0,2.25,6.0,7,3,1,0,3,0.92
2019-04-12,0,0,2.45,6.1,4,2,1,3,3,0.98
2019-04-17,0,0,2.59,6.0,6,2,0,1,5,1.03
2019-04-23,0,1,2.59,7.0,4,2,0,1,4,0.96
2019-04-28,0,0,3.38,6.0,8,5,1,1,6,1.04
2019-05-04,0,0,3.74,6.0,8,4,0,1,5,1.11
2019-05-10,1,0,3.4,7.0,9,1,0,1,5,1.15
2019-05-16,0,0,3.33,3.2,2,1,1,1,5,1.13
2019-06-19,0,0,4.12,5.0,9,7,2,0,7,1.19
2019-06-25,0,1,4.25,6.2,8,4,2,0,4,1.19
2019-07-01,1,0,4.54,5.2,9,5,1,3,4,1.26
2019-07-14,0,1,5.17,5.1,11,8,3,3,4,1.36
2019-07-22,0,0,4.96,5.0,5,1,1,2,7,1.36
2019-07-27,0,1,4.77,7.0,3,2,2,2,7,1.31
2019-08-02,1,0,4.75,6.0,6,3,0,3,2,1.32
2019-08-07,0,1,5.06,5.0,8,6,2,1,1,1.34
2019-08-13,1,0,5.25,5.0,7,5,0,5,2,1.39
2019-08-19,0,1,5.65,2.0,6,6,3,3,1,1.45
2019-08-24,1,0,5.35,6.0,3,0,0,1,3,1.41
2019-08-29,1,0,5.26,7.0,7,3,0,0,6,1.39
2019-09-04,0,0,5.16,6.0,7,2,1,1,6,1.38
2019-09-09,0,0,5.21,5.2,8,4,0,3,6,1.41
2019-09-15,0,1,5.59,2.1,6,7,2,3,0,1.45
2019-09-22,0,1,5.52,5.0,3,2,2,2,6,1.44
2019-09-29,0,1,5.38,7.0,5,2,2,2,5,1.41
2020-07-25,0,1,7.36,3.2,5,3,1,1,3,1.64
2020-07-31,0,1,5.4,4.2,4,2,1,3,6,1.56
2020-08-05,0,1,3.52,7.0,3,1,0,1,5,1.11
2020-08-13,1,0,3.98,5.0,7,3,1,1,4,1.23
2020-08-20,0,1,3.7,4.0,6,1,0,2,5,1.36
2020-08-26,0,1,5.34,6.0,9,8,3,2,3,1.45
2020-08-31,0,0,5.5,4.0,7,3,1,2,6,1.54
2020-09-05,0,1,5.8,6.0,5,5,3,3,6,1.51
2020-09-12,0,1,6.35,5.0,10,6,2,3,4,1.63
2020-09-18,0,1,6.7,4.1,7,5,2,0,3,1.63
2020-09-23,1,0,6.18,5.2,3,1,1,3,4,1.57
2021-04-05,1,0,3.0,6.0,2,2,0,2,6,0.67
2021-04-11,0,1,6.75,3.1,10,5,0,2,3,1.71
2021-04-17,1,0,5.02,5.0,4,1,0,3,4,1.6
2021-04-22,0,0,4.66,5.0,5,2,1,1,6,1.5
2021-04-27,0,1,4.44,5.0,6,2,1,2,8,1.52
2021-05-02,0,0,6.0,2.2,6,6,3,4,2,1.74
2021-05-08,0,0,5.81,4.0,5,2,1,2,6,1.74
2021-05-15,0,0,6.27,2.0,4,3,0,2,2,1.82
2021-05-20,0,0,5.97,4.2,5,2,2,2,5,1.78
2021-05-26,1,0,5.36,6.0,3,1,0,0,7,1.6
2021-07-06,0,0,5.51,3.2,6,3,1,1,3,1.63
2021-07-20,0,0,5.68,5.0,7,4,1,1,3,1.62
2021-07-25,1,0,5.06,6.1,5,0,0,0,6,1.53
2021-08-12,0,0,4.86,4.1,3,1,0,2,2,1.51
2021-08-19,0,0,4.71,2.0,0,0,0,1,2,1.48
2021-08-24,0,0,4.54,2.1,1,0,0,1,1,1.46
2021-08-31,0,0,4.27,4.1,4,0,0,0,4,1.42
2021-09-06,0,0,4.23,5.0,10,2,0,2,3,1.49
2021-09-13,0,0,4.19,0.2,1,0,0,0,2,1.49
2021-09-14,0,0,4.15,0.2,1,0,0,0,0,1.49
2021-09-22,0,0,4.39,4.0,8,4,0,1,4,1.52
2021-09-28,0,0,4.29,4.0,5,1,1,0,6,1.51
2021-10-03,0,0,4.35,5.0,4,3,0,2,5,1.49
